text,department,priority
College WiFi not working since morning,IT,High
Student portal login failing repeatedly,IT,High
Projector not working in classroom 3,IT,Medium
Computer lab systems are very slow,IT,Medium
Online exam portal crashing,IT,High
Email ID not activated for new students,IT,Medium
Projector not responding,IT,Medium
LAN connection down in lab 2,IT,High
Printer not working in admin office,IT,Medium
College website loading very slowly,IT,Medium
Biometric attendance machine not working,IT,High
Password reset link not functioning,IT,Medium
Server down during internal submission,IT,High
Internet speed extremely slow in hostel,IT,High
Antivirus expired on lab computers,IT,Low
Broken benches in classroom 1,Infrastructure,Medium
Water leakage in Washroom,Infrastructure,High
Washroom not cleaned properly,Infrastructure,Medium
Air conditioner not cooling in lab,Infrastructure,Medium
Fan not working in classroom,Infrastructure,Low
Streetlight not working near hostel,Infrastructure,Medium
Water cooler not functioning,Infrastructure,Medium
Ceiling leakage during rain,Infrastructure,High
Power outage in academic block,Infrastructure,High
Garbage not collected in campus,Infrastructure,Medium
Classroom windows broken,Infrastructure,Low
Fire alarm not working,Infrastructure,High
Parking area lights not working,Infrastructure,Medium
Admission confirmation email not received,Administration,Medium
Exam timetable not announced yet,Administration,Medium
ID card not issued after 2 weeks,Administration,Low
Scholarship form verification delayed,Administration,High
Bonafide certificate request pending,Administration,Low
Transfer certificate not issued,Administration,High
Convocation registration issue,Administration,Medium
No response from admin office,Administration,High
Incorrect attendance marked in system,HR,High
Leave request not approved,HR,Medium
Salary not credited to staff,HR,High
Experience certificate not provided,HR,Medium
Offer letter not received,HR,Medium
Medical reimbursement pending,HR,High
Relieving letter delayed,HR,High
PF details not updated,HR,Medium
Grievance about supervisor behavior,HR,High
Holiday list not published,HR,Low
Library books not available,Library,Medium
Library fine added wrongly,Library,Low
Library membership not activated,Library,Low
Noise disturbance in library,Library,Medium
Book issue system not working,Library,High
Library lights not working,Library,Medium
Overdue fine calculation incorrect,Library,Medium
Insufficient seating in library,Library,Low
Hostel water supply stopped,Hostel,High
Hostel WiFi not working,Hostel,High
Room cleaning not done regularly,Hostel,Medium
Mess food quality very poor,Hostel,Medium
Electricity outage in hostel ,Hostel,High
Broken bed in hostel room,Hostel,Low
Water leakage in hostel bathroom,Hostel,High
Security issue in hostel at night,Hostel,High
Hot water not available in hostel,Hostel,Medium
Internal marks not updated,Academics,High
Assignment submission portal closed early,Academics,Medium
Exam results not declared,Academics,High
Wrong marks entered in marksheet,Academics,High
Syllabus not uploaded on portal,Academics,Medium
Faculty not attending scheduled class,Academics,Medium
Lab sessions not conducted properly,Academics,Medium
Timetable clash between two subjects,Academics,High
Project evaluation delayed,Academics,Medium
Exam hall seating arrangement issue,Academics,Low
Fee receipt not generated,Accounts,Medium
Double payment deducted,Accounts,High
Refund not processed,Accounts,High
Wrong fee structure shown,Accounts,Medium
Late fine applied incorrectly,Accounts,Medium
Security deposit not refunded,Accounts,High
Scholarship amount not credited,Accounts,High
Payment gateway error during fee submission,Accounts,Medium
Invoice details incorrect,Accounts,Medium
Bus fee deducted twice,Accounts,Medium
Classroom mic not working,Infrastructure,Medium
Hostel gate security absent,Hostel,High
College app not opening,IT,High
Library book return entry not updated,Library,Medium
Staff attendance not recorded properly,HR,High
Online lecture recording not available,IT,Medium
Water tap broken in washroom,Infrastructure,Medium
Exam form submission error,Academics,High
Duplicate ID generated for student,Administration,Medium
Hostel room allotment not confirmed,Hostel,High
College ERP system crashing,IT,High
Electrical sparks in lab,Infrastructure,High
Delay in issuing degree certificate,Administration,High
Revaluation result not updated,Academics,Medium
Fee refund status not updated,Accounts,Medium
Complaint about rude hostel warden,Hostel,High
Library card lost and not reissued,Library,Low
WiFi signal weak in library,IT,Medium
Power sockets not working in classroom,Infrastructure,Medium
Exam admit card not downloadable,Academics,High
Payroll discrepancy noticed by staff,HR,High
Online fee payment stuck but amount deducted,Accounts,High
Garbage bins overflowing near canteen,Infrastructure,Medium
Hostel mess hygiene issue,Hostel,High
Faculty changed without notice,Academics,Medium
Attendance shortage due to system error,Academics,High
Student grievance not addressed,Administration,High
Network printer not accessible,IT,Medium
Water shortage in girls hostel,Hostel,High
Air conditioning not working in library,Library,Medium
Electric shock from lab equipment,Infrastructure,High
Course registration portal not working,IT,High
Scholarship approval pending for months,Administration,High
Incorrect hostel fee charged,Accounts,High
Marks not visible in student portal,Academics,High
Broken whiteboard in classroom,Infrastructure,Low
Library catalog search not working,Library,Medium
Timetable not updated online,Academics,Medium
College bus arrived late regularly,Administration,Medium
Fee payment status showing unpaid incorrectly,Accounts,Medium
HR portal not accessible,HR,High
Internet not working in staff room,IT,High
Ceiling fan making loud noise,Infrastructure,Low
Delay in issuing student ID,Administration,Medium
Books misplaced in library,Library,Low
Hostel room lights flickering,Hostel,Medium
Exam paper not uploaded for review,Academics,High
Wrong deduction in staff salary,HR,High
Fee receipt name incorrect,Accounts,Low
Water cooler leaking near classroom,Infrastructure,Medium
College website hacked warning displayed,IT,High
Transfer application pending approval,Administration,Medium
Lost library book fine too high,Library,Medium
Hostel complaint about food timing,Hostel,Medium
Internal assessment marks missing,Academics,High
Pad Machine not working in girls washroom,Maintenance,Medium
Broken Tubelights in washrooms,Electrical,high
No handwash in washroom,HouseKeeping,High
Watercooler hygiene issue,Housekeeping,High
No availability of food in canteen,Canteen,Medium
Camera not working in Campus,Security,High
Theft incidents happening in hostel,Security,High
No general stores available near hostel,Administration,low
Course faculty not available for full semester,Academics,High